Measure_Name,Staff_Number,Month,Passed_Count,Denominator
BP02,802,2019-01-01,38,38
BP02,802,2019-02-01,54,56
BP02,802,2019-03-01,75,80
BP02,802,2019-04-01,40,43
BP02,802,2019-05-01,57,63
BP02,802,2019-06-01,54,55
BP02,802,2019-07-01,53,77
BP02,1156,2019-01-01,129,134
BP02,1156,2019-02-01,98,104
BP02,1156,2019-03-01,92,99
BP02,1156,2019-04-01,112,117
BP02,1156,2019-05-01,116,118
BP02,1156,2019-06-01,134,135
BP02,1156,2019-07-01,52,55
CARD02,802,2019-01-01,33,33
CARD02,802,2019-02-01,36,36
CARD02,802,2019-03-01,45,45
CARD02,802,2019-04-01,39,39
CARD02,802,2019-05-01,47,47
CARD02,802,2019-06-01,31,31
CARD02,802,2019-07-01,50,50
CARD02,1156,2019-01-01,70,70
CARD02,1156,2019-02-01,40,40
CARD02,1156,2019-03-01,49,49
CARD02,1156,2019-04-01,55,65
CARD02,1156,2019-05-01,54,65
CARD02,1156,2019-06-01,53,65
CARD02,1156,2019-07-01,50,65
BP02,Syn1,2019-01-01,20,50
BP02,Syn1,2019-02-01,21,50
BP02,Syn1,2019-03-01,22,50
BP02,Syn1,2019-04-01,23,50
BP02,Syn1,2019-05-01,24,50
BP02,Syn1,2019-06-01,25,50
BP02,Syn1,2019-07-01,48,50
BP02,Syn2,2019-01-01,20,50
BP02,Syn2,2019-02-01,21,50
BP02,Syn2,2019-03-01,22,50
BP02,Syn2,2019-04-01,23,50
BP02,Syn2,2019-05-01,24,50
BP02,Syn2,2019-06-01,50,50
